Position,Const,Title,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt9376612,Shang-Chi and the Legend of the Ten Rings,7.4,132,2021,"Action, Adventure, Fantasy, Sci-Fi",358472,2021/8/16,Destin Daniel Cretton
2,tt10838180,The Matrix Resurrections,5.7,148,2021,"Action, Sci-Fi",232273,2021/12/16,Lana Wachowski
3,tt0076271,Kingdom of the Spiders,5.7,97,1977,"Horror, Sci-Fi",5279,1977/8/24,John 'Bud' Cardos
4,tt3722614,Revolt,5.3,87,2017,"Action, Adventure, Sci-Fi",9482,2017/7/1,Joe Miale
5,tt9032400,Eternals,6.3,156,2021,"Action, Adventure, Fantasy, Sci-Fi",314480,2021/10/18,Chloé Zhao
6,tt1160419,Dune: Part One,8,155,2021,"Action, Adventure, Drama, Sci-Fi",583404,2021/9/3,Denis Villeneuve
7,tt0083959,Forbidden World,5.1,77,1982,"Horror, Sci-Fi",5269,1982/5/7,Allan Holzman
8,tt7713068,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,6,109,2020,"Action, Adventure, Comedy, Crime",230483,2020/1/25,Cathy Yan
9,tt0082431,Galaxy of Terror,5,81,1981,"Action, Adventure, Horror, Sci-Fi",7758,1981/10/31,Bruce D. Clark
10,tt6264654,Free Guy,7.1,115,2021,"Action, Adventure, Comedy, Fantasy, Sci-Fi",346013,2021/8/10,Shawn Levy
11,tt6334354,The Suicide Squad,7.2,132,2021,"Action, Adventure, Comedy, Sci-Fi",333388,2021/7/28,James Gunn
12,tt0367093,Starship Troopers 2: Hero of the Federation,3.5,88,2004,"Action, Adventure, Horror, Sci-Fi",23221,2004/4/24,Phil Tippett
13,tt7097896,Venom: Let There Be Carnage,5.9,97,2021,"Action, Adventure, Sci-Fi, Thriller",207254,2021/9/14,Andy Serkis
14,tt0075909,Damnation Alley,5.2,91,1977,Sci-Fi,5325,1977/9/10,Jack Smight
15,tt0087332,Ghostbusters,7.8,105,1984,"Action, Comedy, Fantasy, Sci-Fi",406774,1984/6/7,Ivan Reitman
16,tt0097428,Ghostbusters II,6.6,108,1989,"Action, Comedy, Fantasy, Sci-Fi",204324,1989/6/15,Ivan Reitman
17,tt8332922,A Quiet Place Part II,7.2,97,2020,"Drama, Horror, Sci-Fi, Thriller",212805,2020/3/8,John Krasinski
18,tt4513678,Ghostbusters: Afterlife,7.1,124,2021,"Adventure, Comedy, Fantasy, Sci-Fi",158809,2021/10/8,Jason Reitman
19,tt0064393,The Green Slime,4.8,90,1968,"Drama, Horror, Sci-Fi",3601,1968/7/6,Kinji Fukasaku
20,tt0096895,Batman,7.5,126,1989,"Action, Adventure",372303,1989/6/19,Tim Burton
21,tt0103776,Batman Returns,7.1,126,1992,"Action, Crime, Fantasy",301162,1992/6/16,Tim Burton
22,tt0372784,Batman Begins,8.2,140,2005,"Action, Crime, Drama",1434484,2005/5/31,Christopher Nolan
