Position,Const,Title,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
90,tt0253556,Reign of Fire,6.2,101,2002,"Action, Adventure, Fantasy, Thriller",135191,2002/7/9,Rob Bowman
91,tt0070531,Phase IV,6.5,84,1974,"Horror, Sci-Fi, Thriller",8533,1974/9/30,Saul Bass
92,tt2251281,Dark Was the Night,5.6,99,2014,"Drama, Horror, Thriller",10270,2014/10/16,Jack Heller
93,tt1331335,Wyvern,4.7,89,2009,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller",2118,2009/1/31,Steven R. Monroe
94,tt1314248,Troglodyte,4.1,87,2008,"Action, Adventure, Comedy, Fantasy, Horror, Mystery, Sci-Fi, Thriller",1611,2008/6/30,Paul Ziller
95,tt0050294,The Deadly Mantis,5.1,79,1957,"Family, Horror, Sci-Fi, Thriller",3643,1957/5/1,Nathan Juran
96,tt0387808,Idiocracy,6.5,84,2006,"Adventure, Comedy, Sci-Fi, Thriller",160605,2006/9/1,Mike Judge
97,tt0099052,Arachnophobia,6.5,109,1990,"Comedy, Horror, Thriller",69433,1990/7/18,Frank Marshall
98,tt0048696,Tarantula,6.4,80,1955,"Horror, Sci-Fi",9728,1955/11/4,Jack Arnold
99,tt0087363,Gremlins,7.3,106,1984,"Comedy, Fantasy, Horror",219754,1984/6/8,Joe Dante
100,tt0118571,Air Force One,6.5,124,1997,"Action, Drama, Thriller",193946,1997/7/21,Wolfgang Petersen
